benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers
bicg,SMALL,15,ALL_BRAM,1.75,O0,30,0.0494726426666805,66.88727267600325,28,138,0,727,5506,238,5744,21
bicg,SMALL,15,ALL_BRAM,1.75,O2,35,0.0494726426666805,66.88727267600325,33,206,0,953,5873,239,6112,32
bicg,SMALL,15,ALL_BRAM,1.75,O3,44,0.0494726426666805,66.88727267600325,42,266,0,1340,6323,340,6663,47
bicg,SMALL,15,LSS,1.0,O0,33,0.0494726426666805,66.88727267600325,39,138,0,760,5774,240,6014,23
bicg,SMALL,15,LSS,1.0,O2,39,0.0494726426666805,66.88727267600325,49,206,0,1082,6141,306,6447,37
bicg,SMALL,15,LSS,1.0,O3,49,0.0494726426666805,66.88727267600325,64,266,0,1598,6591,376,6967,57
bicg,SMALL,15,LSS,1.75,O0,33,0.0494726426666805,66.88727267600325,39,138,0,760,5774,240,6014,23
bicg,SMALL,15,LSS,1.75,O2,39,0.0494726426666805,66.88727267600325,49,206,0,1082,6141,306,6447,37
bicg,SMALL,15,LSS,1.75,O3,49,0.0494726426666805,66.88727267600325,64,266,0,1598,6591,376,6967,57
deriche,MEDIUM,10,ALL_BRAM,1.0,O0,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,ALL_BRAM,1.0,O2,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,ALL_BRAM,1.0,O3,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,ALL_BRAM,1.75,O0,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,ALL_BRAM,1.75,O2,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,ALL_BRAM,1.75,O3,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,LSS,1.0,O0,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,LSS,1.0,O2,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,LSS,1.0,O3,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,LSS,1.75,O0,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,LSS,1.75,O2,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,10,LSS,1.75,O3,6,0.4802633153333762,105.04492226247112,4,220,12,557,1943,0,1943,23
deriche,MEDIUM,15,ALL_BRAM,1.0,O0,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,ALL_BRAM,1.0,O2,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,ALL_BRAM,1.0,O3,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,ALL_BRAM,1.75,O0,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,ALL_BRAM,1.75,O2,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,ALL_BRAM,1.75,O3,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
deriche,MEDIUM,15,LSS,1.0,O0,5,3.121133314333393,84.1831149773429,3,220,9,521,1943,0,1943,18
